episode,turn,player_id,is_agent,action,reward,invalid_action,action_mask_entropy,cash,net_worth,num_assets,properties,railways,utilities,houses,hotels,mortgaged_assets,position,in_jail,jail_turns,full_sets,trades_made,auctions_won,winner,agent_won,episode_length
1,1,Player1,1,4,-1.0,1,-0.0,1300,1300,0,0,0,0,0,0,0,4,0,0,0,0,0,,0,
1,1,Player2,0,heuristic,0.0,0,-0.0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
1,2,Player1,1,10,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,6,0,0,0,0,0,,0,
1,2,Player2,0,heuristic,0.0,0,0.6931471824645996,1440,1470,1,1,0,0,0,0,0,3,0,0,0,0,0,,0,
1,3,Player1,1,5,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,8,0,0,0,0,0,,0,
1,3,Player2,0,heuristic,0.0,0,0.6931471824645996,1340,1420,2,2,0,0,0,0,0,6,0,0,0,0,0,,0,
1,4,Player1,1,6,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,9,0,0,0,0,0,,0,
1,4,Player2,0,heuristic,0.0,0,0.6931471824645996,1190,1345,3,3,0,1,0,0,0,12,0,0,0,0,0,,0,
1,5,Player1,1,9,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,13,0,0,0,0,0,,0,
1,5,Player2,0,heuristic,0.0,0,0.6931471824645996,1030,1265,4,4,0,1,0,0,0,14,0,0,0,0,0,,0,
1,6,Player1,1,10,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,18,0,0,0,0,0,,0,
1,6,Player2,0,heuristic,0.0,0,0.6931471824645996,1030,1265,4,4,0,1,0,0,0,20,0,0,0,0,0,,0,
1,7,Player1,1,8,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,21,0,0,0,0,0,,0,
1,7,Player2,0,heuristic,0.0,0,0.6931471824645996,790,1145,5,5,0,1,0,0,0,24,0,0,0,0,0,,0,
1,8,Player1,1,8,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,25,0,0,0,0,0,,0,
1,8,Player2,0,heuristic,0.0,0,0.6931471824645996,530,1015,6,6,0,1,0,0,0,26,0,0,0,0,0,,0,
1,9,Player1,1,6,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,29,0,0,0,0,0,,0,
1,9,Player2,0,heuristic,0.0,0,0.6931471824645996,530,1015,6,6,0,1,0,0,0,30,0,0,0,0,0,,0,
1,10,Player1,1,1,-1.0,1,0.6931471824645996,1300,1300,0,0,0,0,0,0,0,34,0,0,0,0,0,,0,
1,10,Player2,0,heuristic,0.0,0,0.6931471824645996,230,865,7,7,0,1,0,0,0,32,0,0,0,0,0,,0,
1,11,Player1,1,2,0.0,0,0.6931471824645996,1200,1400,1,1,0,0,0,0,0,39,0,0,0,0,0,,0,
1,11,Player2,0,heuristic,0.0,0,0.6931471824645996,230,865,7,7,0,1,0,0,0,36,0,0,0,0,0,,0,
1,12,Player1,1,8,-1.0,1,0.6931471824645996,1200,1400,1,1,0,0,0,0,0,4,0,0,0,0,0,,0,
